Campaign,Date,City,Latitude,Longitude,Channel,Device,Ad,Impressions,CTR,Clicks,Daily_Average_CPC,Spend_(GBP),Conversions,Total_conversion value_(GBP),Likes_(Reactions),Shares,Comments
Spring ,4/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,829,0.016,13,1.44,19,3,102.14,73,22,8
Spring ,4/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,971.2,0.018,17,0.44,8,2,57.12,70,9,2
Spring ,4/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1084.6,0.014,15,0.84,12,2,56.64,27,23,3
Spring ,4/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448.2,0.018,26,0.76,20,2,47.04,82,4,8
Spring ,4/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1066.8,0.018,19,1.54,29,4,53.09,74,16,9
Spring ,4/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1753,0.016,27,1.01,27,2,7.68,67,11,2
Spring ,4/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1474.2,0.015,23,1.18,27,3,33.6,70,3,3
Spring ,4/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,980.8,0.010,10,1.1,11,0,55.78,28,0,6
Spring ,5/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1495.6,0.012,19,1.44,27,4,42.34,66,5,9
Spring ,5/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1519.4,0.013,20,0.49,10,3,43.68,70,5,5
Spring ,5/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1335.4,0.014,19,0.99,19,0,92.06,57,1,0
Spring ,5/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1128.8,0.014,15,1.29,20,1,35.52,12,17,9
Spring ,5/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,770.2,0.016,12,0.43,5,1,32.64,50,20,11
Spring ,5/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1307.6,0.015,20,0.98,19,3,81.98,16,22,8
Spring ,5/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,867.6,0.017,14,1.64,24,2,92.74,24,17,9
Spring ,5/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1138.2,0.014,16,0.39,6,2,183.46,58,7,3
Spring ,5/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,837.8,0.014,12,1.75,21,5,18.24,42,9,8
Spring ,5/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,773.6,0.014,11,0.82,9,3,14.4,9,21,8
Spring ,5/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1337.2,0.014,19,1.32,25,3,42.24,61,1,5
Spring ,5/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1588.2,0.015,23,0.61,14,3,50.88,48,3,6
Spring ,5/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,870.6,0.020,17,0.38,7,2,46.08,66,3,11
Spring ,5/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,926.4,0.018,17,0.68,11,4,2.88,54,4,2
Spring ,5/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1438.6,0.012,17,1.31,22,5,13.44,53,12,0
Spring ,5/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1242.2,0.020,24,1.45,35,3,3.84,79,7,2
Spring ,5/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1567.6,0.017,26,0.45,12,5,26.88,53,8,5
Spring ,5/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1502.6,0.015,22,1.46,32,4,8.64,28,23,0
Spring ,5/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1299,0.014,18,1.1,19,4,52.8,76,2,3
Spring ,5/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1495.4,0.018,28,0.67,18,2,46.37,76,1,2
Spring ,5/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1034.8,0.013,14,0.4,6,2,12.48,54,16,2
Spring ,5/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1395.8,0.011,16,0.79,13,0,169.34,54,4,8
Spring ,5/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,842.6,0.015,12,1.2,15,2,85.34,45,9,12
Spring ,5/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1593,0.018,28,1.47,41,3,152.54,25,15,6
Spring ,5/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1734.6,0.017,29,0.58,17,5,63.84,45,5,0
Spring ,5/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1465.8,0.012,18,0.9,16,0,95.42,62,2,6
Spring ,5/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1732.4,0.018,31,0.94,29,2,122.3,61,1,2
Spring ,5/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1104.8,0.013,14,1.35,19,2,179.42,30,2,8
Spring ,5/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,786,0.017,13,0.98,13,3,28.8,57,2,9
Spring ,5/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1082,0.014,15,0.35,5,0,167.33,23,16,6
Spring ,5/31/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,907.4,0.019,17,0.9,15,4,69.22,50,18,9
Summer ,6/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,505,0.015,7,0.52,4,3,49.92,30,13,0
Summer ,6/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,588,0.013,8,0.77,6,3,138.43,72,1,6
Summer ,6/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,494.3,0.017,9,0.82,7,5,53.76,60,5,18
Summer ,6/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,440.7,0.013,6,0.98,5,1,108.19,19,5,8
Summer ,6/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,723.2,0.012,9,1.44,13,4,9.6,29,1,0
Summer ,6/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,950.5,0.011,10,0.92,9,6,55.78,30,5,2
Summer ,6/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,848.9,0.017,14,0.74,10,6,157.92,48,26,0
Summer ,6/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,663.8,0.017,11,1.48,16,4,290.3,46,3,8
Summer ,6/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,727.3,0.012,9,1.08,9,4,222.43,57,10,2
Summer ,6/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,588.1,0.014,8,1.41,12,7,104.16,30,25,14
Summer ,6/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,369.3,0.014,5,0.94,5,5,48.38,59,4,12
Summer ,6/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,440.4,0.015,7,0.66,4,2,144.48,37,27,12
Summer ,6/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,779.8,0.013,10,1.51,15,3,13.44,34,21,2
Summer ,6/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,504.5,0.015,8,1.14,9,1,73.25,42,9,9
Summer ,6/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,476,0.013,6,0.21,1,4,41.28,23,22,3
Summer ,6/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,232.3,0.012,3,0.7,2,3,4.8,64,3,17
Summer ,6/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,555,0.014,8,0.75,6,5,181.44,73,22,2
Summer ,6/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,461.9,0.017,8,1.15,9,5,105.5,58,22,14
Summer ,6/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,439.9,0.012,5,1.53,8,3,2.88,62,6,8
Summer ,6/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1030.9,0.017,17,0.93,16,4,85.34,34,19,8
Summer ,6/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,406.4,0.015,6,0.7,4,6,51.84,32,7,8
Summer ,6/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,562.2,0.014,8,0.77,6,3,10.56,53,13,18
Summer ,6/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,242.7,0.012,3,0.6,2,1,3.84,67,10,12
Summer ,6/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,986,0.015,14,0.59,9,4,168,52,21,8
Summer ,6/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,345.4,0.011,4,0.79,3,4,121.63,75,16,5
Summer ,6/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,538.9,0.013,7,0.67,5,4,48,58,8,11
Summer ,6/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,301.8,0.012,4,0.92,3,4,263.42,28,1,12
Summer ,6/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,926.5,0.017,15,0.66,10,3,116.26,35,18,5
Summer ,6/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,368.6,0.013,5,1.12,5,5,16.32,28,17,6
Summer ,6/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,518.3,0.011,6,0.7,4,6,69.22,58,13,6
Summer ,7/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,929.7,0.015,14,1.12,16,7,16.32,26,7,2
Summer ,7/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,497.3,0.014,7,0.17,1,3,75.94,73,17,20
Summer ,7/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,661.5,0.017,12,0.72,8,1,104.83,74,7,14
Summer ,7/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,449.1,0.013,6,1.12,7,6,25.92,55,2,12
Summer ,7/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,574.8,0.012,7,1.06,7,4,61.15,43,4,3
Summer ,7/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,399.7,0.015,6,1.02,6,5,65.86,71,21,9
Summer ,7/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,418.8,0.016,7,0.43,3,2,49.92,44,19,9
Summer ,7/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1133.2,0.015,17,0.85,14,5,21.12,34,14,18
Summer ,7/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,915.1,0.014,13,1.08,14,6,21.12,19,13,12
Summer ,7/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,475.4,0.015,7,1.53,11,4,10.56,61,14,14
Summer ,7/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,423.6,0.013,5,0.59,3,6,158.59,78,28,15
Summer ,7/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,418.5,0.011,5,1.23,6,2,48.38,74,14,18
Summer ,7/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,975.1,0.013,13,0.82,10,5,30.72,77,14,6
Summer ,7/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,485,0.018,8,1.4,12,3,57.12,48,2,3
Summer ,7/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,797.8,0.013,10,1.64,17,3,105.5,52,27,2
Summer ,7/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,776.1,0.012,9,1.09,10,5,57.12,39,3,8
Summer ,7/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,277.2,0.018,5,0.68,3,0,58.46,25,14,9
Summer ,7/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,632.6,0.014,9,0.41,4,1,108.86,77,26,18
Summer ,7/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,603.6,0.012,7,0.52,4,2,55.78,28,27,15
Summer ,7/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,930.8,0.012,12,0.24,3,1,56.45,65,5,11
Summer ,7/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,523,0.015,8,0.72,6,0,87.36,73,32,3
Summer ,7/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,805,0.014,11,0.26,3,1,17.28,56,27,0
Summer ,7/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,759.5,0.011,9,1.55,13,1,95.42,68,24,6
Summer ,7/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,808.3,0.017,14,0.43,6,0,55.78,53,9,5
Summer ,7/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,634.9,0.016,10,0.37,4,2,53.76,60,4,8
Summer ,7/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,433.2,0.014,6,1.12,7,2,59.14,55,14,3
Summer ,7/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,264.3,0.014,4,0.07,0,3,92.06,56,19,9
Summer ,7/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,358.2,0.016,6,1.21,7,2,182.11,32,3,6
Summer ,7/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,596.5,0.016,10,1.43,14,1,22.08,65,17,5
Summer ,7/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,860.5,0.018,15,1.17,18,1,186.14,54,23,2
Summer ,7/31/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,712,0.013,9,0.64,6,1,171.36,52,24,14
Summer ,8/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,336.9,0.012,4,1.1,5,1,54.43,44,7,3
Summer ,8/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,805.9,0.015,12,1.33,16,5,104.83,49,14,9
Summer ,8/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,550.2,0.018,10,0.81,8,2,146.5,69,13,14
Summer ,8/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1099.6,0.011,12,1.01,12,3,63.17,28,3,6
Summer ,8/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1105.2,0.014,15,0.08,1,0,41.28,47,23,11
Summer ,8/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,651.2,0.016,10,0.75,8,2,54.43,30,24,0
Summer ,8/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,236,0.012,3,1.3,4,3,214.37,72,22,8
Summer ,8/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,828.5,0.011,9,1.36,13,3,67.87,66,25,15
Summer ,8/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,691.9,0.017,11,1.23,14,2,11.52,54,9,11
Summer ,8/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,846.8,0.015,12,1.06,13,2,278.21,54,15,5
Summer ,8/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1045.8,0.017,17,0.43,7,3,103.49,30,11,6
Summer ,8/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,931.9,0.014,13,1.09,14,2,301.06,54,12,6
Summer ,8/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,564.8,0.012,7,1.31,9,2,48.96,68,0,12
Summer ,8/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,634,0.017,10,1.45,15,3,408.58,36,2,5
Summer ,8/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,615,0.015,9,0.87,8,2,242.59,55,6,9
Summer ,8/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,373.5,0.017,6,0.78,5,1,293.66,65,22,11
Summer ,8/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,858.8,0.016,14,1.15,16,4,55.1,67,28,9
Summer ,8/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,750.6,0.016,12,0.67,8,2,84,65,17,8
Summer ,8/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,477.8,0.013,6,1.38,9,1,73.92,59,7,8
Summer ,8/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,916.8,0.013,12,1.53,18,1,24.96,42,26,8
Summer ,8/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,944.6,0.011,10,0.28,3,3,274.85,66,6,2
Summer ,8/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,663.7,0.016,10,0.47,5,2,233.18,20,23,5
Summer ,8/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,452.7,0.016,7,1.43,10,5,33.6,78,18,5
Summer ,8/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,947.6,0.014,13,1.06,14,2,34.56,49,27,11
Summer ,8/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,530.2,0.018,9,0.31,3,3,180.77,39,30,12
Summer ,8/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,832.7,0.014,12,0.32,4,1,137.09,69,16,5
Summer ,8/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,918.5,0.015,13,0.24,3,2,6.72,47,19,11
Summer ,8/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,323.2,0.018,6,0.41,2,5,3.84,29,29,3
Summer ,8/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,563.2,0.011,6,0.45,3,0,16.32,41,22,15
Summer ,8/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,424.5,0.015,6,0.22,1,2,55.1,32,8,0
Summer ,8/31/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,606.4,0.011,7,0.75,5,2,103.49,64,26,8
Fall ,9/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1841,0.017,32,0.86,27,1,67.2,71,6,6
Fall ,9/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,2138,0.013,27,1.02,27,0,93.41,73,19,9
Fall ,9/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448,0.018,26,0.38,10,1,92.06,74,21,3
Fall ,9/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1442,0.019,27,1.66,44,2,57.79,55,35,12
Fall ,9/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1497,0.011,17,1,17,3,171.36,68,6,0
Fall ,9/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1581,0.014,22,1.31,29,0,26.88,86,18,8
Fall ,9/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1741,0.011,20,1.24,25,2,42.34,52,32,11
Fall ,9/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1396,0.019,26,0.97,25,2,174.05,33,34,6
Fall ,9/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,2363,0.019,46,0.23,10,2,305.09,44,23,8
Fall ,9/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1312,0.012,16,1.32,21,2,152.54,54,19,0
